subject_area,subj_code,title,number,section_ids
Archaeology,ARCHEOL,Selected Laboratory Topics in Archaeology: Paleoethnobotany,M205A,{1305}
Art History,ART HIS,Selected Topics in African Art: On View in Africa: Exhibitions and Museums Throughout Continent,C146A,{5886206}
Anthropology,ANTHRO,Selected Topics in Anthropological/Archaeological Theory: Seminar 1  ,219,{5883312}
Anthropology,ANTHRO,Selected Topics in Anthropology: Professional Development,299,{4683}
Anthropology,ANTHRO,Selected Topics in Anthropology: Quantitative Data Analysis in Anthropology,299,{4471}
Anthropology,ANTHRO,Selected Topics in Anthropology: Seminar 1  ,299,{5886344}
Anthropology,ANTHRO,Selected Topics in Archaeology: Archaeology of Extinction,119,{634}
Arts Education,ARTS ED,Selected Topics in Arts Education: Lecture 1  ,101,{5884523}
Anthropology,ANTHRO,"Selected Topics in Biological Anthropology: Genes, Disease, and Culture",129,{4364}
Anthropology,ANTHRO,"Selected Topics in Biological Anthropology: Mother Nature, Father Time: Evolutionary Perspectives on Parenting",129,{4257}
History,HIST,Selected Topics in Chinese History from 1500: Chinese Overseas: from Early Modern Traders to Global Citizens,170B,{3242}
Political Science,POL SCI,Selected Topics in Comparative Politics: Discussion 1  ,259,{5882716}
Anthropology,ANTHRO,Selected Topics in Cultural Anthropology: Anthropology of Los Angeles,139,{879}
Anthropology,ANTHRO,"Selected Topics in Cultural Anthropology: Doctors, Clinics, and Biomedicine",139,{10580621}
Anthropology,ANTHRO,Selected Topics in Cultural Anthropology: Field Methods,139,{2304}
World Arts and Cultures,WL ARTS,Selected Topics in Cultural Studies: Film and Transnational Feminisms: New Geographies of Women's Digital Dissent,120,{822}
World Arts and Cultures,WL ARTS,Selected Topics in Cultural Studies: Lecture 2  ,120,{5887163}
World Arts and Cultures,WL ARTS,Selected Topics in Cultural Studies: Listen: Poetics and Politics of Sound,120,{2176}
World Arts and Cultures,WL ARTS,"Selected Topics in Cultural Studies: Textile, Color, Culture",120,{10580940}
Dance,DANCE,Selected Topics in Dance Studies: Dance: Colonization and Confinement,C145,{4040}
Dance,DANCE,Selected Topics in Dance Studies: Dance: Colonization and Confinement,C245,{1291}
Art History,ART HIS,Selected Topics in Early Modern Art: Painting of 17th Century in Northern Europe,C126,{843}
Ecology and Evolutionary Biology,EE BIOL,Selected Topics in Ecology and Evolutionary Biology: Seminar 1  ,297,{1538}
Ecology and Evolutionary Biology,EE BIOL,Selected Topics in Ecology and Evolutionary Biology: Seminar 2  ,297,{193}
Ecology and Evolutionary Biology,EE BIOL,Selected Topics in Ecology and Evolutionary Biology: Seminar 3  ,297,{4422}
Ecology and Evolutionary Biology,EE BIOL,Selected Topics in Ecology and Evolutionary Biology: Seminar 4  ,297,{2857}
Ecology and Evolutionary Biology,EE BIOL,Selected Topics in Ecology and Evolutionary Biology: Seminar 6  ,297,{81233}
Anthropology,ANTHRO,Selected Topics in Field Ethnography: Seminar 1  ,239,{5882945}
Global Studies,GLBL ST,Selected Topics in Global Studies: Global Business and Law,160,{3730}
Global Studies,GLBL ST,"Selected Topics in Global Studies: Rethinking Global Capitalism: Race, Class, Gender, History",160,{2804}
Political Science,POL SCI,Selected Topics in International Relations: Contemporary Research in International Relations,239,{2428}
Art History,ART HIS,Selected Topics in Islamic Art,C220A,{5879301}
Art History,ART HIS,Selected Topics in Islamic Art: Lecture 1  ,C120,{5882955}
Art History,ART HIS,Selected Topics in Japanese Art: Introduction to Japanese Archaeology,C151,{1491}
Art History,ART HIS,Selected Topics in Japanese Art: Lecture 1  ,C151,{5879730}
Music,MUSC,Selected Topics in Keyboard Literature: Lecture 1  ,C171,"{4803,5886469}"
Music,MUSC,Selected Topics in Keyboard Literature: Lecture 2  ,C171,{4378}
Anthropology,ANTHRO,Selected Topics in Linguistic Anthropology: Anthrophonetics,259,{10580781}
Anthropology,ANTHRO,"Selected Topics in Linguistic Anthropology: Hip-Hop Culture, Youth Identities, and Politics of Language",159,{5881654}
Management-Executive MBA,MGMTEX,Selected Topics in Management: Business Law for Managers and Entrepreneurs,439,{1013}
Management-Executive MBA,MGMTEX,Selected Topics in Management: International Business Economics,439,{627}
Management-Executive MBA,MGMTEX,Selected Topics in Management: Marketing Strategy,439,{1068}
Management-Executive MBA,MGMTEX,Selected Topics in Management: Seminar 1  ,439,{10579083}
Management-Executive MBA,MGMTEX,Selected Topics in Management: Seminar 2  ,439,{5880459}
Management,MGMT,Selected Topics in Marketing: Lecture 1  ,268,{5881262}
Political Science,POL SCI,Selected Topics in Political Theory: Black Fugitivity and Fugitive Democracy: Radical Democratic Theory and Race,218,{787}
Political Science,POL SCI,Selected Topics in Political Theory: Seminar 3  ,218,{5879791}
Political Science,POL SCI,Selected Topics in Political Theory: Writing Arendt: Architecture of The Human Condition,218,{3112}
Anthropology,ANTHRO,Selected Topics in Social Anthropology: Critical Phenomenology,249,{5222}
Anthropology,ANTHRO,Selected Topics in Social Anthropology: Seminar 1  ,249,{5878829}
Anthropology,ANTHRO,Selected Topics in Social Anthropology: Seminar 2  ,249,{5886340}
Anthropology,ANTHRO,Selected Topics in Social Anthropology: Seminar 4  ,249,{5884580}
Anthropology,ANTHRO,Selected Topics in Social Anthropology: Social Debates and Popular Culture in Israel,149,{3747}
Sociology,SOCIOL,Selected Topics in Sociology of Gender: Lecture 1  ,M252,{17073022}
Psychology,PSYCH,Self and Identity,137J,{5885069}
Linguistics,LING,Semantics I,120C,"{1973,5887361}"
Linguistics,LING,Semantics II,165C,{5885352}
Linguistics,LING,Semantic Theory II,201C,{5198}
Linguistics,LING,Semantic Theory III,222,{5880789}
Chemical Engineering,CH ENGR,Semiconductor Processing,104C,{4419}
Chemical Engineering,CH ENGR,Semiconductor Processing Laboratory,104CL,{4853}
Nursing,NURSING,Seminar: Advanced Concepts in Oncology Nursing,214,{5886251}
Information Studies,INF STD,Seminar: Advanced Issues in Archival Science--Archival Appraisal,438A,{5883128}
Bioinformatics (Graduate),BIOINFO,Seminar: Advanced Methods in Computational Biology,201,"{5887685,3520}"
Mechanical and Aerospace Engineering,MECH&AE,Seminar: Advanced Topics in Fluid Mechanics: Seminar 1  ,259A,{5882269}
Mechanical and Aerospace Engineering,MECH&AE,Seminar: Advanced Topics in Fluid Mechanics: Seminar 2  ,259A,{875}
Materials Science and Engineering,MAT SCI,Seminar: Advanced Topics in Materials Science and Engineering,296,"{5878984,3829,3917,5879333,5879196,15858869,10586900,5879174,5433,4193,3564,5879028,5879149,14684514,4920,5073,4921,5879113,3828,4147,3664,5879073,5879307,5458,5879293,5879051,4093,5282,5128,4414,5244,5237,5878966,3916,4469,4635,4584,3665,3746}"
Mechanical and Aerospace Engineering,MECH&AE,Seminar: Advanced Topics in Solid Mechanics,259B,{5882282}
Semitic,SEMITIC,Seminar: Akkadian Language,240,"{5878837,1850}"
Political Science,POL SCI,Seminar: American Political Institutions: Theories of American Constitutionalism,275,{10581013}
Mathematics,MATH,Seminar: Analysis,285G,{5881359}
Musicology,MUSCLG,"Seminar: Analytical/Repertoire Topics: Tone and Timbre in Popular Music, Revisited: Recording and Signal Chain",245,{181}
Ancient Near East,AN N EA,Seminar: Ancient Egypt: Seminar 1  ,220,"{5878987,1371}"
Ancient Near East,AN N EA,Seminar: Ancient Egypt: Seminar 2  ,220,{11}
Ancient Near East,AN N EA,Seminar: Ancient Syria/Palestine,230,{318}
Film and Television,FILM TV,Seminar: Animated Film,209D,{4298}
Mathematics,MATH,Seminar: Applied Mathematics,285J,"{1872,5881231,3293}"
Art,ART,Seminar: Art: Seminar 1  ,C280,{3351}
Atmospheric and Oceanic Sciences,A&O SCI,Seminar: Atmospheric Chemistry,274,"{4772,5883120}"
Atmospheric and Oceanic Sciences,A&O SCI,Seminar: Atmospheric Dynamics,271,"{4813,5888412}"
Atmospheric and Oceanic Sciences,A&O SCI,Seminar: Atmospheric Sciences,270,"{5880263,794}"
Bioengineering,BIOENGR,Seminar: Bioengineering Topics,299,"{5881652,4412}"
Physics and Biology in Medicine,PBMED,Seminar: Biomedical Physics,260B,{291}
Physics and Biology in Medicine,PBMED,Seminar: Biomedical Physics,260C,{5883613}
Biological Chemistry,BIOL CH,"Seminar: Cell, Stem Cell, and Developmental Biology",266B,{178}
Biological Chemistry,BIOL CH,"Seminar: Cell, Stem Cell, and Developmental Biology",266C,{5882619}
Law,LAW,Seminar: Climate Change: Seminar 1  ,591,{5883762}
Geography,GEOG,Seminar: Climatology,271,{5887980}
Law,LAW,Seminar: Colloquium on Tax Policy and Public Finance,543,{5884141}
Mathematics,MATH,Seminar: Combinatorics,285N,{5887449}
Political Science,POL SCI,Seminar: Comparative Politics,240B,{2768}
Music,MUSC,Seminar: Composition for Motion Pictures and Television,260A,{5884975}
German,GERMAN,Seminar: Contemporary Literature: Seminar 1  ,261,{5882577}
Psychology,PSYCH,Seminar: Critical Problems in Social Psychology: Seminar 1  ,225,{5885035}
Psychology,PSYCH,Seminar: Critical Problems in Social Psychology: Social Brain,225,{5234}
Geography,GEOG,Seminar: Cultural Geography,236,{5878909}
World Arts and Cultures,WL ARTS,Seminar: Culture and Performance: Prospectus Writing,220,{286}
World Arts and Cultures,WL ARTS,Seminar: Culture and Performance: Seminar 1  ,220,{1755}
World Arts and Cultures,WL ARTS,Seminar: Culture and Performance: Seminar 2  ,220,{5882156}
Astronomy,ASTR,Seminar: Current Astronomical Research,279,"{5883837,3413}"
Education,EDUC,Seminar: Current Problems in Comparative Education: Seminar 1  ,M253A,{2434}
Computer Science,COM SCI,Seminar: Current Topics in Artificial Intelligence: Seminar 2  ,269,{4106}
"Microbiology, Immunology, and Molecular Genetics",MIMG,Seminar: Current Topics in Immunobiology of Cancer,262B,{4146}
"Microbiology, Immunology, and Molecular Genetics",MIMG,Seminar: Current Topics in Immunobiology of Cancer,262C,{5882274}
Management-PhD,MGMTPHD,"Seminar: Decisions, Operations, and Technology Management Systems",205B,{2944}
Management-PhD,MGMTPHD,"Seminar: Decisions, Operations, and Technology Management Systems",205C,{5882503}
Psychology,PSYCH,Seminar: Developmental Psychology--Cognitive Development,242B,{5325}
"Molecular, Cell, and Developmental Biology",MCD BIO,"Seminar: Development, Stem Cells, and Disease Mechanisms",266C,{5884437}
Film and Television,FILM TV,Seminar: Documentary Film,209A,{4829}
Ecology and Evolutionary Biology,EE BIOL,Seminar: Ecology and Evolutionary Biology,296,"{5887217,443,1556,5887352,4182,666,4180,1106,5887758,1282,5887721,4230,4552,5887374,1107,5887452,5887240,715,2059,2001,4551,5001,5888030,3217,716,668,1108,1555,4549,1493,5887562,667}"
Economics,ECON,Seminar: Economic History,C246B,{1503}
Economics,ECON,Seminar: Economic History,C246C,{5885856}
Civil and Environmental Engineering,C&EE,"Seminar: Engineering: Additive Manufacturing/3D Printing Fundamentals: Processes, Materials, and Design",298,{2184}
Mechanical and Aerospace Engineering,MECH&AE,Seminar: Engineering: Nano-optics and Photonics: Fundamentals and Applications,298,{1295}
Civil and Environmental Engineering,C&EE,Seminar: Engineering: Seminar 1  ,298,"{5882200,2738}"
Civil and Environmental Engineering,C&EE,Seminar: Engineering: Seminar 3  ,298,"{5883213,3236708}"
Civil and Environmental Engineering,C&EE,Seminar: Engineering: Seminar 5  ,298,{5878881}
Materials Science and Engineering,MAT SCI,Seminar: Engineering: Seminar 80  ,298,{3569}
Materials Science and Engineering,MAT SCI,Seminar: Engineering: Seminar 81  ,298,{5029}
Materials Science and Engineering,MAT SCI,Seminar: Engineering: Seminar 83  ,298,{13058240}
Philosophy,PHILOS,Seminar: Ethical Theory: Seminar 1  ,246,{2963}
Film and Television,FILM TV,Seminar: Film Authors: Seminar 1  ,221,{5072}
Philosophy,PHILOS,Seminar for First-Year Graduate Students,200B,{1811}
Geography,GEOG,Seminar: Geographic Thought,240,{5882862}
Education,EDUC,Seminar: Higher Education: Seminar 1  ,263,{5882906}
Education,EDUC,Seminar: Higher Education: Seminar 2  ,263,{5880330}
Musicology,MUSCLG,Seminar: Historical Topics: Seminar 1  ,255,{5885312}
Film and Television,FILM TV,Seminar: Historiography,211A,{3702}
Film and Television,FILM TV,Seminar: Historiography,211B,{2512}
Russian,RUSSN,Seminar: History of Russian Culture,296,{5887765}
Urban Planning,URBN PL,"Seminar: Housing Segregation, Housing Discrimination, and Evolution of Public Policy",203B,{5884313}
Urban Planning,URBN PL,"Seminar: Housing Segregation, Housing Discrimination, and Evolution of Public Policy",M203A,{1932}
Indo-European Studies,I E STD,Seminar: Indo-European Linguistics: Ancestral State Estimation in Indo-European and Beyond,280A,{845}
Indo-European Studies,I E STD,Seminar: Indo-European Linguistics: Introductory Luwian,280B,{395}
Indo-European Studies,I E STD,Seminar: Indo-European Linguistics: Seminar 1  ,281A,{1901}
Indo-European Studies,I E STD,Seminar: Indo-European Linguistics: Seminar 1  ,281B,{10580927}
Music Industry,MSC IND,Seminar in Music Industry,101,"{2515,5880517}"
Philosophy,PHILOS,Seminar: Intensional Logic,231,{5880953}
Film and Television,FILM TV,Seminar: Issues in Electronic Culture,246,{2860}
Economics,ECON,Seminar: Labor Economics,C266B,{748}
Education,EDUC,Seminar: Latin American Education: Seminar 1  ,253D,{5881132}
Ethnomusicology,ETHNMUS,Seminar: Latin American Music,208,{5879237}
Law,LAW,Seminar: Lawyering Skills Writing Advisor/Lawyering Skills: Seminar 1  ,572B,{5885952}
English,ENGL,Seminar: Literary Theory,M270,{3105}
Law,LAW,Seminar: Mergers & Acquisitions,606,{5884423}
Ancient Near East,AN N EA,Seminar: Object Archaeology,262,{5879989}
Music,MUSC,Seminar: Orchestration,251,{862}
Law,LAW,Seminar: Patent Intensive,525,{5886026}
Health Policy and Management,HLT POL,Seminar: Pharmaceutical Economics and Policy,M204B,{2586}
Health Policy and Management,HLT POL,Seminar: Pharmaceutical Economics and Policy,M204C,{5888298}
Molecular and Medical Pharmacology,M PHARM,Seminar: Pharmacology,251,"{5888425,2798}"
Philosophy,PHILOS,Seminar: Philosophy of Language: Visual Narrative,287,{3494}
Philosophy,PHILOS,Seminar: Philosophy of Mind: Modes of Presentation,281,{2990}
Law,LAW,Seminar: Philosophy of Punishment,551,{5883643}
Linguistics,LING,Seminar: Phonetics,260B,{1432}
Linguistics,LING,Seminar: Phonology,261B,{1686}
Linguistics,LING,Seminar: Phonology,261C,{5881785}
Physics,PHYSICS,Seminar: Physics of the Solid State,262,{79781}
"Earth, Planetary, and Space Sciences",EPS SCI,Seminar: Planetology,286B,{5414}
"Earth, Planetary, and Space Sciences",EPS SCI,Seminar: Planetology,286C,{5878832}
Arabic,ARABIC,Seminar: Premodern Arabic Literature,250,"{735,5888357}"
Mathematics,MATH,Seminar: Probability,285K,{5886105}
Linguistics,LING,Seminar: Psycholinguistics/Neurolinguistics,264B,{5147}
Linguistics,LING,Seminar: Psycholinguistics/Neurolinguistics,264C,{5885339}
Physics and Biology in Medicine,PBMED,Seminar: Radiation Biology,223,{5884408}
Education,EDUC,Seminar: Reading: Seminar 1  ,262B,{3865}
Law,LAW,Seminar: Redesigning the Administrative State: The Entrepreneurial State,515,{5880498}
Film and Television,FILM TV,Seminar: Research Design,274,{2537}
Chemistry and Biochemistry,CHEM,Seminar: Research in Biochemistry--Advanced Topics in Structural Biology,256N,{4421}
Chemistry and Biochemistry,CHEM,Seminar: Research in Biochemistry--Analysis of Protein Structure,256P,{2794}
Chemistry and Biochemistry,CHEM,Seminar: Research in Biochemistry--Biochemistry and Function of Ubiquinone in Yeast and Higher Eukaryotes,256Q,"{5885247,4669}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Biochemistry--Biochemistry of Protein Function,256B,{3897}
Chemistry and Biochemistry,CHEM,Seminar: Research in Biochemistry--Biomolecular Nuclear Magnetic Resonance Spectroscopy and Protein Structure,256R,"{4019,5888021}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Biochemistry--Cytoskeletal Dynamics during Drosophila Oogenesis,256W,{1345}
Chemistry and Biochemistry,CHEM,Seminar: Research in Biochemistry--Information Processing in Intracellular and Intercellular Signaling Networks,256Z,"{2955,5883200}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Biochemistry--Literature of Structural Biology,256L,{1306}
Chemistry and Biochemistry,CHEM,Seminar: Research in Biochemistry--Membrane Biophysics,256O,{65}
Chemistry and Biochemistry,CHEM,Seminar: Research in Biochemistry--Microtubule-Based Structures and Human Diseases,256X,"{2072,5886360}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Biochemistry--Mitochondrial Biogenesis and Link to Disease,256U,{3261}
Chemistry and Biochemistry,CHEM,Seminar: Research in Biochemistry--Proteomics and Mass Spectrometry,256V,"{3315,5883702}"
Chemistry and Biochemistry,CHEM,"Seminar: Research in Biochemistry--Research in Genomics: Biochemistry, Synthetic Biology, and Genomics",256Y,{1464}
Chemistry and Biochemistry,CHEM,Seminar: Research in Biochemistry--RNA Processing and RNA Genomics,256T,{5285}
Chemistry and Biochemistry,CHEM,Seminar: Research in Inorganic Chemistry--Chemistry of Materials,272A,"{5888200,2894}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Inorganic Chemistry--Electrochemical   Materials and Interfaces.,272N,"{155,5881996}"
Chemistry and Biochemistry,CHEM,"Seminar: Research in Inorganic Chemistry--Inorganic Nanostructures: Synthesis, Properties, and Functions",272K,"{1542,5883108}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Inorganic Chemistry--Inorganic Spectroscopy,272C,"{5883201,3703}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Inorganic Chemistry--Issues in Chemical Education,272G,"{3453,5878787}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Inorganic Chemistry--Methodology for Chemical Synthesis of Complex Molecules,272M,{379}
Chemistry and Biochemistry,CHEM,Seminar: Research in Inorganic Chemistry--Molecular Materials,272L,"{1406,5880128}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Inorganic Chemistry--Organometallic Chemistry,272I,"{5888207,4871}"
Chemistry and Biochemistry,CHEM,"Seminar: Research in Organic Chemistry--Fluorous Materials, Synthetic Chemistry, and Supermolecular Assembly",235R,{2022}
Chemistry and Biochemistry,CHEM,Seminar: Research in Organic Chemistry--Fullerene Chemistry and Materials Science,235I,"{5882007,5342}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Organic Chemistry--Organic Chemistry in Organized and Restricted Media,235K,"{4274,5881108}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Organic Chemistry--Organometallic Chemistry and Organic Synthesis,235G,{4986}
Chemistry and Biochemistry,CHEM,Seminar: Research in Organic Chemistry--Polymer Chemistry and Biomaterials,235O,"{5883565,3577}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Organic Chemistry--Reaction Discovery and total Synthesis of Complex Molecules,235P,"{5041,5884472}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Organic Chemistry--Synthetic Methods and Synthesis of Natural Products,235F,{4932}
Chemistry and Biochemistry,CHEM,Seminar: Research in Organic Chemistry--Synthetic Organic Chemistry Research,235Q,"{5884337,3670}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Organic Chemistry--Target- and Diversity-Oriented Synthesis of Natural Products and Product-Like Molecules,235N,"{5886874,3847}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Organic Chemistry--Theoretical and Physical Organic Chemistry,235E,"{4099,5885240}"
Chemistry and Biochemistry,CHEM,"Seminar: Research in Physical Chemistry--Complex Fluids: Composition, Structure, and Rheology",219V,"{746,5883215}"
Chemistry and Biochemistry,CHEM,"Seminar: Research in Physical Chemistry--Kinetic, Thermodynamic, and Interfacial Effects in Materials",219R,"{5880680,2201}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Physical Chemistry--Modern Methods for Molecular Reactions and Structure,219L,{139}
Chemistry and Biochemistry,CHEM,Seminar: Research in Physical Chemistry--Nanoscience,219S,"{5888007,2413}"
Chemistry and Biochemistry,CHEM,Seminar: Research in Physical Chemistry--Single-Molecule Spectroscopy in Biology,219T,{184}
Chemistry and Biochemistry,CHEM,Seminar: Research in Physical Chemistry--Theory and Computation for Materials,219Y,{4489}
Chemistry and Biochemistry,CHEM,Seminar: Research in Physical Chemistry--Ultrafast Studies of Chemical Reaction Dynamics in Condensed Phase,219Q,{78}
Bioengineering,BIOENGR,Seminar: Research Topics in Bioengineering--Biomaterial Research,295A,"{385,5886815}"
Bioengineering,BIOENGR,Seminar: Research Topics in Bioengineering--Biomicrofluidics and Bionanotechnology Research,295G,"{4135,5883423}"
Bioengineering,BIOENGR,Seminar: Research Topics in Bioengineering--Biopolymer Materials and Chemistry,295F,{2159}
Bioengineering,BIOENGR,Seminar: Research Topics in Bioengineering--Hybrid Device Research,295D,"{5883417,603}"
Bioengineering,BIOENGR,Seminar: Research Topics in Bioengineering--Molecular Cell Bioengineering Research,295E,{2932}
Bioengineering,BIOENGR,Seminar: Research Topics in Bioengineering--Neural Tissue Engineering and Regenerative Medicine,295J,{4427}
Biostatistics,BIOSTAT,Seminar: Research Topics in Biostatistics,296,{5347}
Electrical and Computer Engineering,EC ENGR,Seminar: Research Topics in Electrical Engineering,296,"{4024,5886975,5887015,5888268,5887703,5887475,4025,3976,5887494,5085,5154,5459,5299,5888314,3633,3627,4671,5886893,5888010,3937,4900,5888050,5138,4619,10588969,4668,5052,5182,4563,5051,5887516,5887461,5888066,4865,5888214,5455,5886922,4029,5887397,3765,5297,5887753,3945,5886881,4027,3656,4527,5086,5181,3515,3896,4866,5887826,5887777,4526,5053,3799,5412}"
"Microbiology, Immunology, and Molecular Genetics",MIMG,"Seminar: Research Topics in Microbiology, Immunology, and Molecular Genetics",296,"{3676,5885065,3674,4484}"
"Earth, Planetary, and Space Sciences",EPS SCI,Seminar: Seismology and Earth's Interior,287C,{5888039}
Chinese,CHIN,Seminar: Selected Topics in Chinese Archaeology,290B,{1818}
Japanese,JAPAN,Seminar: Selected Topics in Modern Japanese Fiction: Seminar 1  ,235A,{2806}
Japanese,JAPAN,Seminar: Selected Topics in Modern Japanse Fiction,235B,{5879466}
Linguistics,LING,Seminar: Semantics,263,{2278}
Electrical and Computer Engineering,EC ENGR,Seminar Series: Electrical Engineering: Seminar 1  ,297,{5882008}
Engineering,ENGR,Seminar Series in Engineering Research,191,{5885596}
Law,LAW,Seminar: SJD Thesis,599,{5886543}
Atmospheric and Oceanic Sciences,A&O SCI,Seminar: Space Physics,M275B,{4722}
"Earth, Planetary, and Space Sciences",EPS SCI,Seminar: Space Physics,M288B,{3435}
"Earth, Planetary, and Space Sciences",EPS SCI,Seminar: Space Physics,M288C,{5888009}
Information Studies,INF STD,Seminar: Special Collections,439,{10587998}
Information Studies,INF STD,Seminar: Special Issues in Information Studies: Diverse Children's Literature,289,{3823}
Information Studies,INF STD,Seminar: Special Issues in Information Studies: Feminist Research Methodology,289,{10581005}
Information Studies,INF STD,"Seminar: Special Issues in Information Studies: Migrating Memories: Diaspora, Archives, and Human Rights",289,{3425}
Information Studies,INF STD,Seminar: Special Issues in Information Studies: Moving Image Technology,289,{4700}
Information Studies,INF STD,Seminar: Special Issues in Information Studies: Seminar 1  ,289,{5881643}
Information Studies,INF STD,Seminar: Special Issues in Information Studies: Seminar 2  ,289,{5883123}
Information Studies,INF STD,Seminar: Special Issues in Information Studies: Seminar 3  ,289,{5883159}
Information Studies,INF STD,Seminar: Special Issues in Information Studies: Seminar 4  ,289,{5880332}
Information Studies,INF STD,Seminar: Special Issues in Information Studies: Theory and Politics of Collecting,289,{11575427}
Education,EDUC,Seminar: Special Topics--Data Analysis: Seminar 1  ,255C,{2385}
Education,EDUC,Seminar: Special Topics in Development: Seminar 1  ,256B,"{4864,10579204}"
Ethnomusicology,ETHNMUS,Seminar: Special Topics in Ethnomusicology: Gendering Armenian Soundscapes,292A,{5127}
Ethnomusicology,ETHNMUS,Seminar: Special Topics in Ethnomusicology: Seminar 1  ,292A,{10580919}
Education,EDUC,"Seminar: Special Topics in Urban Schooling: Community Schools, Democracy, and Education in Los Angeles",229,{3005}
Education,EDUC,"Seminar: Special Topics in Urban Schooling: Democracy, Voice, and Schooling",229,{2567}
Education,EDUC,Seminar: Special Topics in Urban Schooling: Seminar 1  ,229,{5888203}
Education,EDUC,Seminar: Special Topics in Urban Schooling: Seminar 2  ,229,{5884785}
Education,EDUC,Seminar: Special Topics in Urban Schooling: Seminar 3  ,229,{5885206}
Chemistry and Biochemistry,CHEM,Seminars: Research in Physical Chemistry--Photon Resolved Spectroscopy of Materials (Physical Chemistry),219A,{3237}
Political Science,POL SCI,Seminar: Strategic Interaction,222,{2552}
"Earth, Planetary, and Space Sciences",EPS SCI,Seminar: Structural Geology and Tectonics,255,{2277}
Musicology,MUSCLG,Seminar: Theoretical Topics: Musical Afterlives,250,{2040}
Musicology,MUSCLG,Seminar: Theoretical Topics: Seminar 1  ,250,{5883590}
Sociology,SOCIOL,Seminar: Theory and Research in Comparative Social Analysis,237,"{5420,5882260}"
Philosophy,PHILOS,Seminar: Topics in History of Philosophy: Early Modern Theories of Person and Self,220,{77}
Korean,KOREA,Seminar: Topics in Modern Korean Cultural History,296B,{81}
Korean,KOREA,Seminar: Topics in Traditional Korean Cultural History,295A,{2850}
Korean,KOREA,Seminar: Topics in Traditional Korean Cultural History,295B,{5884852}
Biological Chemistry,BIOL CH,Seminar: Transcriptional Regulation,251B,{2454}
Biological Chemistry,BIOL CH,Seminar: Transcriptional Regulation,251C,{5878699}
Spanish,SPAN,Senior Capstone Seminar,191C,"{5882987,15328855,5883011}"
Slavic,SLAVC,Senior Capstone Thesis in Slavic Languages and Literatures,191TB,{1586}
Slavic,SLAVC,Senior Capstone Thesis in Slavic Languages and Literatures,191TC,{5879169}
Spanish,SPAN,Senior Honors Research in Spanish I,198A,"{2671,3802516,6213912,14729327,58}"
Theater,THEATER,Senior Project,180,"{3530,4849,5885108}"
Disability Studies,DIS STD,Senior Project in Disability Studies,199C,{1567}
Psychology,PSYCH,Senior Project in Psychology,199A,"{2479669,2658796,3531316,2257597,2257631,2502481,2257667,6650622,2652882,3514218,2537217}"
Psychology,PSYCH,Senior Project in Psychology,199B,"{2370878,2549007,2370893,2805323,3548082,2646965,2268641,2793330,2681958,5946290,1690838}"
Dance,DANCE,Senior Projects in Dance,186A,{3086}
Dance,DANCE,Senior Projects in Dance,186B,{5881570}
Ethnomusicology,ETHNMUS,Senior Recital or Project,186,"{5883434,2664}"
Gender Studies,GENDER,Senior Research Seminar: Gender Studies,187,"{5882408,4974,5286,5396}"
Art,ART,Senior Studio,150,"{1720,5888263,2978,5888194}"
Film and Television,FILM TV,Senior Symposium,102B,{570}
Film and Television,FILM TV,Senior Symposium,102C,{5882027}
Psychology,PSYCH,Sensation and Perception,120B,{5881871}
Chemical Engineering,CH ENGR,Separation Processes,103,{5878779}
Statistics,STATS,Service Learning for Graduate Statistical Consulting,291SL,{5879345}
Physiological Science,PHYSCI,Sex Differences in Physiology and Disease,C130,{1888}
Physiological Science,PHYSCI,Sex Differences in Physiology and Disease,C230,{4883}
Clusters,CLUSTER,Sex from Biology to Gendered Society,M72B,{3422}
Clusters,CLUSTER,Sex from Biology to Gendered Society: Special Topics: Seminar 1  ,M72CW,{5882273}
Clusters,CLUSTER,Sex from Biology to Gendered Society: Special Topics: Seminar 2  ,M72CW,{5878859}
Clusters,CLUSTER,Sex from Biology to Gendered Society: Special Topics: Seminar 3  ,M72CW,{5886427}
Clusters,CLUSTER,Sex from Biology to Gendered Society: Special Topics: Seminar 4  ,M72CW,{5884438}
Clusters,CLUSTER,Sex from Biology to Gendered Society: Special Topics: Seminar 5  ,M72CW,{5887454}
Clusters,CLUSTER,Sex from Biology to Gendered Society: Special Topics: Seminar 7  ,M72CW,{5887174}
Gender Studies,GENDER,Sex Work,113,{5882850}
English,ENGL,Shakespeare,90,{5881560}
English,ENGL,Shakespeare: Later Plays,150B,"{5887267,2533}"
